Автономная некоммерческая организация "Институт перспективных научных исследований";Autonomous non-profit organization "Institute for Advanced Scientific Research"
Краснодарский научно-исследовательский институт хранения и переработки сельскохозяйственной продукции Российской академии сельскохозяйственных наук;Krasnodar Research Institute for Storage and Processing of Agricultural Products of the Russian Academy of Agricultural Sciences
Краснодарский научный центр по зоотехнии и ветеринарии;Krasnodar Scientific Center for Zootechnics and Veterinary Medicine
Краснокутская селекционная опытная станция Научно-исследовательского института сельского хозяйства Юго-Востока Российской академии сельскохозяйственных наук;Krasnokutsk Breeding Experimental Station of the Research Institute of Southeast Agriculture of the Russian Academy of Agricultural Sciences
Краснополянская опытная станция пчеловодства Научно-исследовательского института пчеловодства Российской академии сельскохозяйственных наук;Krasnopolyanskaya Beekeeping Experimental Station of the Beekeeping Research Institute of the Russian Academy of Agricultural Sciences
Красноярский научно-исследовательский институт животноводства Российской академии сельскохозяйственных наук;Krasnoyarsk Research Institute of Animal Husbandry of the Russian Academy of Agricultural Sciences
Красноярский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Krasnoyarsk Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Крыловский государственный научный центр;Krylov State Research Center
Крымская опытно-селекционная станция Северо-Кавказского зонального научно-исследовательского института садоводства и виноградарства Российской академии сельскохозяйственных наук;Crimean Experimental Breeding Station of the North Caucasus Zonal Research Institute of Horticulture and Viticulture of the Russian Academy of Agricultural Sciences
Крымский федеральный университет имени В.И. Вернадского;V.I. Vernadsky Crimean Federal University
Кубанская опытная станция Всероссийского научно-исследовательского института растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;Kuban Experimental Station of the All-Russian Research Institute of Plant Industry named after N.I. Vavilov of the Russian Academy of Agricultural Sciences
Кубанская селекционно-семеноводческая станция сахарной свеклы Российской академии сельскохозяйственных наук;Kuban Sugar Beet Breeding and Seed Production Station of the Russian Academy of Agricultural Sciences
Кубанский государственный технологический университет;Kuban State Technological University
Кубанский государственный университет;Kuban State University
Кузбасский государственный технический университет им. Т.Ф. Горбачева;Kuzbass State Technical University named after T.F. Gorbachev
Курганский государственный университет;Kurgan State University
Курганский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Kurgan Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Курский государственный университет;Kursk State University
Курский научно-исследовательский институт агропромышленного производства Российской академии сельскохозяйственных наук;Kursk Research Institute of Agroindustrial Production of the Russian Academy of Agricultural Sciences
Курский федеральный аграрный научный центр;Kursk Federal Agrarian Scientific Center
Лазаревская опытная станция защиты растений Всероссийского научно-исследовательского института биологической защиты растений Российской академии сельскохозяйственных наук;Lazarevskaya Experimental Plant Protection Station of the All-Russian Research Institute of Biological Plant Protection of the Russian Academy of Agricultural Sciences
Ленинградский научно-исследовательский институт сельского хозяйства "Белогорка" Российской академии сельскохозяйственных наук;Leningrad Research Institute of Agriculture "Belogorka" of the Russian Academy of Agricultural Sciences
Летно-исследовательский институт имени М.М. Громова;M.M. Gromov Flight Research Institute
Лимнологический институт Сибирского отделения Российской академии наук;Limnological Institute of the Siberian Branch of the Russian Academy of Sciences
Липецкий государственный технический университет;Lipetsk State Technical University
Магаданский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Magadansky Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Магнитогорский государственный технический университет им. Г.И. Носова;Magnitogorsk State Technical University named after G.I. Nosov
Майкопская опытная станция Всероссийского научно-исследовательского института растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;Maikop Experimental Station of the All-Russian Research Institute of Plant Industry named after N.I. Vavilov of the Russian Academy of Agricultural Sciences
Майкопский государственный технологический университет;Maikop State Technological University
Марийский государственный университет;Mari State University
Марийский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Mari Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Математический институт им. В. А. Стеклова Российской академии наук;V. A. Steklov Mathematical Institute of the Russian Academy of Sciences
Медико-генетический научный центр имени академика Н.П. Бочкова;Academician N.P. Bochkov Medical and Genetic Research Center
Международный научно-исследовательский институт социального развития - автономная некоммерческая организация;International Research Institute for Social Development - autonomous non-profit organization
Минералогический музей им. А.Е. Ферсмана Российской академии наук;A.E. Fersman Mineralogical Museum of the Russian Academy of Sciences
МИРЭА - Российский технологический университет;MIREA - Russian Technological University
Мордовский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Mordovian Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Морской гидрофизический институт;Marine Hydrophysical Institute
Морской гидрофизический институт РАН;Marine Hydrophysical Institute of the Russian Academy of Sciences
Московская государственная художественно-промышленная академия им. С.Г. Строганова;Moscow State Academy of Arts and Industry named after S.G. Stroganov
Московский авиационный институт (национальный исследовательский университет);Moscow Aviation Institute (National Research University)
Московский автомобильно-дорожный государственный технический университет (МАДИ);Moscow Automobile and Road State Technical University (MADI)
Московский архитектурный институт (государственная академия);Moscow Architectural Institute (State Academy)
Московский государственный гуманитарно-экономический университет;Moscow State University of Humanities and Economics
Московский государственный лингвистический университет;Moscow State Linguistic University
Московский государственный технический университет им. Н.Э. Баумана" (национальный исследовательский университет);Bauman Moscow State Technical University. N.E. Bauman Moscow State Technical University (National Research University)
Московский государственный технологический университет "СТАНКИН";Moscow State Technological University "STANKIN"
Московский государственный университет геодезии и картографии;Moscow State University of Geodesy and Cartography
Московский государственный университет пищевых производств;Moscow State University of Food Production
Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет);K.G. Razumovsky Moscow State University of Technology and Management (First Cossack University)
Московский государственный юридический университет имени О.Е. Кутафина (МГЮА);O.E. Kutafin Moscow State Law University (MSLA)
Московский научно-исследовательский институт сельского хозяйства "Немчиновка" Российской академии сельскохозяйственных наук;Moscow Research Institute of Agriculture "Nemchinovka" of the Russian Academy of Agricultural Sciences
Московский политехнический университет;Moscow Polytechnic University
Московский физико-технический институт (государственный университет);Moscow Institute of Physics and Technology (State University)
Музей антропологии и этнографии им. Петра Великого (Кунсткамера) Российской академии наук;Peter the Great Museum of Anthropology and Ethnography (Kunstkamera) of the Russian Academy of Sciences
Мурманская государственная сельскохозяйственная опытная станция Российской академии сельскохозяйственных наук;Murmansk State Agricultural Experimental Station of the Russian Academy of Agricultural Sciences
Мурманский арктический государственный университет;Murmansk Arctic State University
Мурманский государственный технический университет;Murmansk State Technical University
Мурманский морской биологический институт Кольского научного центра Российской академии наук;Murmansk Marine Biological Institute of the Kola Scientific Center of the Russian Academy of Sciences
Нарьян-Марская сельскохозяйственная опытная станция Архангельского научно-исследовательского института сельского хозяйства Российской академии сельскохозяйственных наук;Naryan-Mar Agricultural Experimental Station of the Arkhangelsk Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Научная станция Российской академии наук в г. Бишкеке;Scientific Station of the Russian Academy of Sciences in Bishkek
Научно-инженерный центр "Надежность и ресурс больших систем и машин" Уральского отделения Российской академии наук;Scientific and Engineering Center "Reliability and Resource of Large Systems and Machines" of the Ural Branch of the Russian Academy of Sciences
Научно-исследовательский ветеринарный институт Нечерноземной зоны Российской Федерации Российской академии сельскохозяйственных наук;Veterinary Research Institute of the Non-Chernozem Zone of the Russian Federation of the Russian Academy of Agricultural Sciences
Научно-исследовательский геотехнологический центр Дальневосточного отделения Российской академии наук;Geotechnological Research Center of the Far Eastern Branch of the Russian Academy of Sciences
Научно-исследовательский институт "Крымская астрофизическая обсерватория";Research Institute "Crimean Astrophysical Observatory"
Научно-исследовательский институт аграрных проблем Хакасии Российской академии сельскохозяйственных наук;Research Institute of Agrarian Problems of Khakassia of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт акушерства, гинекологии и репродуктологии им. Д.О. Отта;Research Institute of Obstetrics, Gynecology and Reproductology named after D.O. Ottawa
Научно-исследовательский институт биомедицинской химии имени В.Н. Ореховича;V.N. Orekhovich Research Institute of Biomedical Chemistry
Научно-исследовательский институт вакцин и сывороток им. И.И. Мечникова;I.I. Mechnikov Research Institute of Vaccines and Sera
Научно-исследовательский институт ветеринарии Восточной Сибири Российской академии сельскохозяйственных наук;Research Institute of Veterinary Medicine of Eastern Siberia of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт глазных болезней;Research Institute of Eye Diseases
Научно-исследовательский институт детского питания Российской академии сельскохозяйственных наук;Research Institute of Child Nutrition of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт клинической и экспериментальной ревматологии имени А.Б. Зборовского;A.B. Zborovskiy Research Institute of Clinical and Experimental Rheumatology
Научно-исследовательский институт комплексных проблем гигиены и профессиональных заболеваний;Research Institute of Complex Problems of Hygiene and Occupational Diseases
Научно-исследовательский институт комплексных проблем сердечно-сосудистых заболеваний;Research Institute of Complex Problems of Cardiovascular Diseases
Научно-исследовательский институт кондитерской промышленности Российской академии сельскохозяйственных наук;Research Institute of Confectionery Industry of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт математики и механики им. Н.Г. Чеботарева в составе Института математики и механики им. Н. И. Лобачевского Казанского федерального университета;N.G. Chebotarev Research Institute of Mathematics and Mechanics within the N.I. Lobachevsky Institute of Mathematics and Mechanics of Kazan Federal University
Научно-исследовательский институт медицинской приматологии;Research Institute of Medical Primatology
Научно-исследовательский институт медицины труда имени академика Н.Ф. Измерова;Research Institute of Labor Medicine named after Academician N.F. Izmerov
Научно-исследовательский институт морфологии человека;Research Institute of Human Morphology
Научно-исследовательский институт нейронаук и медицины;Research Institute for Neuroscience and Medicine
Научно-исследовательский институт нормальной физиологии имени П.К. Анохина;P.K. Anokhin Research Institute of Normal Physiology
Научно-исследовательский институт общей патологии и патофизиологии;Research Institute of General Pathology and Pathophysiology
Научно-исследовательский институт пищеконцентратной промышленности и специальной пищевой технологии Российской академии сельскохозяйственных наук;Research Institute of Food Concentrate Industry and Special Food Technology of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт по изысканию новых антибиотиков им. Г.Ф. Гаузе;G.F. Gauze Research Institute for the Study of New Antibiotics
Научно-исследовательский институт прикладной математики и автоматизации Кабардино-Балкарского научного центра Российской академии наук;Research Institute of Applied Mathematics and Automation of the Kabardino-Balkarian Scientific Center of the Russian Academy of Sciences
Научно-исследовательский институт прикладной математики и механики Московского государственного технического университета им. Н. Э. Баумана;Research Institute of Applied Mathematics and Mechanics, Bauman Moscow State Technical University
Научно-исследовательский институт пушного звероводства и кролиководства имени В.А. Афанасьева Российской академии сельскохозяйственных наук;V.A. Afanasiev Research Institute of Fur Animal Breeding and Rabbit Breeding of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт пчеловодства Российской академии сельскохозяйственных наук;Research Institute of Beekeeping of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт ревматологии имени В.А. Насоновой;V.A. Nasonova Research Institute of Rheumatology
Научно-исследовательский институт садоводства Сибири имени М.А. Лисавенко Российской академии сельскохозяйственных наук;M.A. Lisavenko Research Institute of Horticulture of Siberia of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт сельского хозяйства Крайнего Севера Российской академии сельскохозяйственных наук;Research Institute of Agriculture of the Far North of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт сельского хозяйства Республики Коми Российской академии сельскохозяйственных наук;Research Institute of Agriculture of the Komi Republic of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт сельского хозяйства Северного Зауралья Российской академии сельскохозяйственных наук;Research Institute of Agriculture of the Northern Trans-Urals of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт сельского хозяйства Юго-Востока Российской академии сельскохозяйственных наук;Research Institute of Southeast Agriculture of the Russian Academy of Agricultural Sciences
Научно-исследовательский институт фармакологии имени В.В. Закусова;V.V. Zakusov Research Institute of Pharmacology. Zakusov
Научно-исследовательский институт фундаментальной и клинической иммунологии;Research Institute of Fundamental and Clinical Immunology
Научно-исследовательский институт экономики и организации агропромышленного комплекса Российской академии сельскохозяйственных наук;Research Institute of Economics and Organization of Agroindustrial Complex of the Russian Academy of Agricultural Sciences
Научно-исследовательский центр "Арктика" Дальневосточного отделения Российской академии наук;Arctic Research Center of the Far Eastern Branch of the Russian Academy of Sciences
Научно-образовательный комплекс "Приморский океанариум" Дальневосточного отделения Российской академии наук;Scientific and Educational Complex "Primorsky Oceanarium" of the Far Eastern Branch of the Russian Academy of Sciences
Научно-производственное объединение "Центральный научно-исследовательский институт технологии машиностроения";Scientific and Production Association "Central Research Institute of Machine Building Technology"
Научно-производственный комплекс "Технологический центр";Research and Production Complex "Technological Center"
Научно-технологический центр микроэлектроники и субмикронных гетероструктур Российской академии наук;Scientific and Technological Center of Microelectronics and Submicron Heterostructures of the Russian Academy of Sciences
Научно-технологический центр уникального приборостроения Российской академии наук;Scientific and Technological Center of Unique Instrumentation of the Russian Academy of Sciences
Научный геоинформационный центр Российской академии наук;Scientific Geoinformation Center of the Russian Academy of Sciences
Научный центр волоконной оптики Российской академии наук;Scientific Center of Fiber Optics of the Russian Academy of Sciences
Научный центр неврологии;Scientific Center of Neurology
Научный центр проблем здоровья семьи и репродукции человека;Scientific Center for Family Health and Human Reproduction Problems
Научный центр психического здоровья;Scientific Center for Mental Health
Научный центр Российской академии наук в Черноголовке;Scientific Center of the Russian Academy of Sciences in Chernogolovka
Национальный исследовательский институт мировой экономики и международных отношений имени Е.М. Примакова Российской академии наук;E.M. Primakov National Research Institute of World Economy and International Relations of the Russian Academy of Sciences
Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва;National Research Mordovian State University named after N.P. Ogaryov
Национальный исследовательский Московский государственный строительный университет;National Research Moscow State University of Civil Engineering
Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского;National Research Nizhny Novgorod State University named after N.I. Lobachevsky
Национальный исследовательский технологический университет "МИСиС";National Research Technological University MISIS
Национальный исследовательский Томский государственный университет;National Research Tomsk State University
Национальный исследовательский Томский политехнический университет;National Research Tomsk Polytechnic University
Национальный исследовательский университет "Московский институт электронной техники";National Research University "Moscow Institute of Electronic Technology"
Национальный исследовательский университет "МЭИ";National Research University "MPEI"
Национальный исследовательский университет ИТМО;National Research University ITMO
Национальный исследовательский центр "Курчатовский институт";National Research Center "Kurchatov Institute"
Национальный исследовательский ядерный университет "МИФИ";National Research Nuclear University MEPhI
Национальный научно-исследовательский институт общественного здоровья имени Н.А. Семашко;N.A. Semashko National Research Institute of Public Health
Национальный научный центр морской биологии им. А.В. Жирмунского Дальневосточного отделения Российской академии наук;A.V. Zhirmunsky National Research Center of Marine Biology, Far Eastern Branch of the Russian Academy of Sciences
Национальный центр зерна имени П.П. Лукьяненко;National Grain Center named after P.P. Lukyanenko
Нижегородский государственный архитектурно-строительный университет;Nizhny Novgorod State University of Architecture and Civil Engineering
Нижегородский государственный лингвистический университет им. Н.А. Добролюбова;Nizhny Novgorod State Linguistic University named after N.A. Dobrolyubov
Нижегородский государственный технический университет им. Р.Е. Алексеева;Nizhny Novgorod State Technical University named after R.E. Alekseev
Нижегородский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Nizhny Novgorod Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Нижне-Волжский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Nizhne-Volga Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Нижневартовский государственный университет;Nizhnevartovsk State University
Нижневолжская станция по селекции древесных пород Всероссийского научно-исследовательского института агролесомелиорации Российской академии сельскохозяйственных наук;Nizhnevolzhskaya Station for Tree Breeding of the All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Никитский ботанический сад - Национальный научный центр;Nikita Botanical Garden - National Scientific Center
Новгородский государственный университет имени Ярослава Мудрого;Yaroslav the Wise Novgorod State University
Новгородский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Novgorod Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Новозыбковская государственная сельскохозяйственная опытная станция Всероссийского научно-исследовательского института люпина Российской академии сельскохозяйственных наук;Novozybkovskaya State Agricultural Experimental Station of the All-Russian Lupine Research Institute of the Russian Academy of Agricultural Sciences
Новосибирский государственный архитектурно-строительный университет (Сибстрин);Novosibirsk State University of Architecture and Civil Engineering (Sibstrin)
Новосибирский государственный технический университет;Novosibirsk State Technical University
Новосибирский государственный университет архитектуры, дизайна и искусств;Novosibirsk State University of Architecture, Design and Arts
Новосибирский государственный университет экономики и управления "НИНХ";Novosibirsk State University of Economics and Management "NINH"
Новосибирский институт органической химии им. Н.Н. Ворожцова Сибирского отделения Российской академии наук;Novosibirsk Institute of Organic Chemistry named after N.N. Vorozhtsov, Siberian Branch of the Russian Academy of Sciences
Новосибирский национальный исследовательский государственный университет;Novosibirsk National Research State University
Новосильская зональная агролесомелиоративная опытная станция имени А.С. Козменко Всероссийского научно-исследовательского института агролесомелиорации Российской академии сельскохозяйственных наук;Novosilsk Zonal Agroforestry Experimental Station named after A.S. Kozmenko of the All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Норильский государственный индустриальный институт;Norilsk State Industrial Institute
НПО "Орион";NPO Orion
Обнинское научно-производственное "Технология им. А.Г. Ромашина";Obninsk Research and Production Technologiya named after A.G. Romashin
Объединенный институт высоких температур Российской академии наук;Joint Institute of High Temperatures of the Russian Academy of Sciences
Омский аграрный научный центр;Omsk Agrarian Scientific Center
Омский государственный технический университет;Omsk State Technical University
Омский государственный университет им. Ф.М. Достоевского;Omsk State University named after F.M. Dostoevsky. F.M. Dostoevsky
Ордена Дружбы народов Институт этнологии и антропологии им. Н.Н. Миклухо-Маклая Российской академии наук;Order of Friendship of Peoples Institute of Ethnology and Anthropology named after N.N. Miklukho-Maclay of the Russian Academy of Sciences
Ордена Ленина и Ордена Октябрьской Революции Институт геохимии и аналитической химии им. В.И. Вернадского Российской академии наук;Order of Lenin and Order of October Revolution Institute of Geochemistry and Analytical Chemistry named after V.I. Vernadsky, Russian Academy of Sciences
Ордена Трудового Красного Знамени Институт нефтехимического синтеза им. А.В. Топчиева Российской академии наук;Order of the Red Banner of Labor Institute of Petrochemical Synthesis named after A.V. Topchiev, Russian Academy of Sciences
Ордена Трудового Красного Знамени Институт солнечно-земной физики Сибирского отделения Российской академии наук;Order of the Red Banner of Labor Institute of Solar-Terrestrial Physics of the Siberian Branch of the Russian Academy of Sciences
Ордена Трудового Красного Знамени Институт физики металлов Уральского отделения Российской академии наук;Order of the Red Banner of Labor Institute of Metal Physics of the Ural Branch of the Russian Academy of Sciences
Ордена Трудового Красного Знамени Институт химии силикатов имени И.В. Гребенщикова Российской академии наук;Order of the Red Banner of Labor Institute of Silicate Chemistry named after I.V. Grebenshchikov, Russian Academy of Sciences
Ордена Трудового Красного Знамени научно-исследовательский физико-химический институт имени Л.Я.Карпова;Order of the Red Banner of Labor, L.Y. Karpov Research Institute of Physics and Chemistry
Оренбургская опытная станция садоводства и виноградарства Всероссийского селекционно-технологического института садоводства и питомниководства Российской академии сельскохозяйственных наук;Orenburg Experimental Station of Horticulture and Viticulture of the All-Russian Selection and Technological Institute of Horticulture and Nursery Production of the Russian Academy of Agricultural Sciences
Оренбургский государственный университет;Orenburg State University
Оренбургский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Orenburg Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Оренбургский федеральный исследовательский центр Уральского отделения Российской академии наук;Orenburg Federal Research Center of the Ural Branch of the Russian Academy of Sciences
Орловский государственный университет имени И.С. Тургенева;I.S. Turgenev Oryol State University
Орловский государственный университет экономики и торговли;Orel State University of Economics and Trade
Открытое акционерное общество Институт точной механики и вычислительной техники им. С.А. Лебедева Российской академии наук;Open Joint Stock Company S.A. Lebedev Institute of Precision Mechanics and Computer Engineering of the Russian Academy of Sciences
Павловская опытная станция Всероссийского научно-исследовательского института растениеводства имени Н.И. Вавилова Российской академии сельскохозяйственных наук;Pavlovskaya Experimental Station of the All-Russian Research Institute of Plant Industry named after N.I. Vavilov of the Russian Academy of Agricultural Sciences
Палеонтологический институт им. А.А. Борисяка Российской академии наук;A.A. Borisyak Paleontological Institute of the Russian Academy of Sciences
Пензенский государственный технологический университет;Penza State Technological University
Пензенский государственный университет;Penza State University
Пензенский государственный университет архитектуры и строительства;Penza State University of Architecture and Construction
Пензенский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Penza Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Пермский государственный национальный исследовательский университет;Perm State National Research University
Пермский научно-исследовательский институт сельского хозяйства Российской академии сельскохозяйственных наук;Perm Research Institute of Agriculture of the Russian Academy of Agricultural Sciences
Пермский национальный исследовательский политехнический университет;Perm National Research Polytechnic University
Пермский федеральный исследовательский центр Уральского отделения Российской академии наук;Perm Federal Research Center of the Ural Branch of the Russian Academy of Sciences
Петрозаводский государственный университет;Petrozavodsk State University
Печорская опытная станция имени А.В. Журавского Научно-исследовательского института сельского хозяйства Республики Коми Российской академии сельскохозяйственных наук;Pechora Experimental Station named after A.V. Zhuravsky of the Research Institute of Agriculture of the Komi Republic of the Russian Academy of Agricultural Sciences
Поволжская агролесомелиоративная опытная станция Всероссийского научно-исследовательского института агролесомелиорации Российской академии сельскохозяйственных наук;Volga Region Agroforestry Experimental Station of the All-Russian Research Institute of Agroforestry of the Russian Academy of Agricultural Sciences
Поволжский государственный технологический университет;Volga Region State Technological University
Поволжский государственный университет сервиса;Volga Region State University of Service
Поволжский научно-исследовательский институт производства и переработки мясомолочной продукции Российской академии сельскохозяйственных наук;Volga Research Institute of Meat and Dairy Production and Processing of the Russian Academy of Agricultural Sciences
Поволжский научно-исследовательский институт селекции и семеноводства имени П.Н. Константинова Российской академии сельскохозяйственных наук;P.N. Konstantinov Volga Region Research Institute of Breeding and Seed Production of the Russian Academy of Agricultural Sciences
Поволжский научно-исследовательский институт эколого-мелиоративных технологий Российской академии сельскохозяйственных наук;Volga Research Institute of Ecological and Ameliorative Technologies of the Russian Academy of Agricultural Sciences
Поволжский научно-исследовательский институт экономики и организации агропромышленного комплекса Российской академии сельскохозяйственных наук;Volga Research Institute of Economics and Organization of Agroindustrial Complex of the Russian Academy of Agricultural Sciences
Полярно-альпийский ботанический сад-институт им. Н.А. Аврорина Кольского научного центра Российской академии наук;Polar-Alpine Botanical Garden-Institute named after N.A. Avrorin of the Kola Scientific Center of the Russian Academy of Sciences
